,Field ID,Unnamed: 0,Unique Name,Question Stem,Data type,Full Answer,Select one/Toggle multiple/Enter integer answer,Category
410,1379.0,Lamb.mutton.intake...Instance.0_3,DT7A,How often do you eat lamb/mutton? (Do not count processed meats),Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
411,1389.0,Pork.intake...Instance.0_0,DT7B,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",Logical,0 : Never,Select one answer,Lifestyle and environment
412,1389.0,Pork.intake...Instance.0_1,DT7B,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",Logical,1 : Less than once a week,Select one answer,Lifestyle and environment
413,1389.0,Pork.intake...Instance.0_2,DT7B,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",Logical,2 : Once a week,Select one answer,Lifestyle and environment
414,1389.0,Pork.intake...Instance.0_3,DT7B,"How often do you eat pork?
(Do not count processed meats such as bacon or ham)",Logical,3 : 2-4 times a week,Select one answer,Lifestyle and environment
415,6144.0,Never.eat.eggs..dairy..wheat..sugar...Instance.0_1,DT8B,Which of the following do you NEVER eat?(You can select more than one answer),Logical,1 : Eggs or foods containing eggs,Toggle multiple answer,Lifestyle and environment
416,6144.0,Never.eat.eggs..dairy..wheat..sugar...Instance.0_2,DT8B,Which of the following do you NEVER eat?(You can select more than one answer),Logical,2 : Dairy products,Toggle multiple answer,Lifestyle and environment
417,6144.0,Never.eat.eggs..dairy..wheat..sugar...Instance.0_3,DT8B,Which of the following do you NEVER eat?(You can select more than one answer),Logical,3 : Wheat products,Toggle multiple answer,Lifestyle and environment
418,6144.0,Never.eat.eggs..dairy..wheat..sugar...Instance.0_4,DT8B,Which of the following do you NEVER eat?(You can select more than one answer),Logical,4 : Sugar or foods/drinks containing sugar,Toggle multiple answer,Lifestyle and environment
419,6144.0,Never.eat.eggs..dairy..wheat..sugar...Instance.0_5,DT8B,Which of the following do you NEVER eat?(You can select more than one answer),Logical,5 :I eat all of the above,Toggle multiple answer,Lifestyle and environment
420,1408.0,Cheese.intake...Instance.0_0,DT9,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",Logical,0 : Never,Select one answer,Lifestyle and environment
422,1408.0,Cheese.intake...Instance.0_2,DT9,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",Logical,2 : Once a week,Select one answer,Lifestyle and environment
424,1408.0,Cheese.intake...Instance.0_4,DT9,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",Logical,4 : 5-6 times a week,Select one answer,Lifestyle and environment
425,1408.0,Cheese.intake...Instance.0_5,DT9,"How often do you eat cheese?
(Include cheese in pizzas, quiches, cheese sauce etc)",Logical,5 : Once or more daily,Select one answer,Lifestyle and environment
426,1418.0,Milk.type.used...Instance.0_1,DT10,What type of milk do you mainly use?,Logical,1 : Full cream,Select one answer,Lifestyle and environment
428,1418.0,Milk.type.used...Instance.0_3,DT10,What type of milk do you mainly use?,Logical,3 : Skimmed,Select one answer,Lifestyle and environment
429,1418.0,Milk.type.used...Instance.0_4,DT10,What type of milk do you mainly use?,Logical,4 : Soya,Select one answer,Lifestyle and environment
431,1418.0,Milk.type.used...Instance.0_6,DT10,What type of milk do you mainly use?,Logical,6 : Never/rarely have milk,Select one answer,Lifestyle and environment
432,1428.0,Spread.type...Instance.0_0,DT10A,What type of spread do you mainly use?,Logical,0 : Never/rarely use spread,Select one answer,Lifestyle and environment
433,1428.0,Spread.type...Instance.0_1,DT10A,What type of spread do you mainly use?,Logical,1 : Butter/spreadable butter,Select one answer,Lifestyle and environment
434,1428.0,Spread.type...Instance.0_2,DT10A,What type of spread do you mainly use?,Logical,2 : Flora Pro-Active or Benecol,Select one answer,Lifestyle and environment
435,1428.0,Spread.type...Instance.0_3,DT10A,What type of spread do you mainly use?,Logical,3 : Other type of spread/margarine,Select one answer,Lifestyle and environment
436,2654.0,Non.butter.spread.type.details...Instance.0_2,DT10AA,What type of spread do you mainly use?,Logical,2 : Flora Pro-Active or Benecol,Select one answer,Lifestyle and environment
437,2654.0,Non.butter.spread.type.details...Instance.0_4,DT10AA,What type of spread do you mainly use?,Logical,4 : Soft (tub) margarine,Select one answer,Lifestyle and environment
438,2654.0,Non.butter.spread.type.details...Instance.0_6,DT10AA,What type of spread do you mainly use?,Logical,6 : Olive oil based spread (eg: Bertolli),Select one answer,Lifestyle and environment
441,2654.0,Non.butter.spread.type.details...Instance.0_9,DT10AA,What type of spread do you mainly use?,Logical,9 : Other type of spread/margarine,Select one answer,Lifestyle and environment
442,1448.0,Bread.type...Instance.0_1,DT11,What type of bread do you mainly eat?,Logical,1 : White,Select one answer,Lifestyle and environment
443,1448.0,Bread.type...Instance.0_2,DT11,What type of bread do you mainly eat?,Logical,2 : Brown,Select one answer,Lifestyle and environment
444,1448.0,Bread.type...Instance.0_3,DT11,What type of bread do you mainly eat?,Logical,3 : Wholemeal or wholegrain,Select one answer,Lifestyle and environment
447,1468.0,Cereal.type...Instance.0_2,DT11A,What type of cereal do you mainly eat?,Logical,2 :Biscuit cereal (e.g. Weetabix),Select one answer,Lifestyle and environment
448,1468.0,Cereal.type...Instance.0_3,DT11A,What type of cereal do you mainly eat?,Logical,"3 :Oat cereal (e.g. Ready Brek, porridge)",Select one answer,Lifestyle and environment
449,1468.0,Cereal.type...Instance.0_4,DT11A,What type of cereal do you mainly eat?,Logical,4 :Muesli,Select one answer,Lifestyle and environment
450,1468.0,Cereal.type...Instance.0_5,DT11A,What type of cereal do you mainly eat?,Logical,"5 :Other (e.g. Cornflakes, Frosties)",Select one answer,Lifestyle and environment
451,1478.0,Salt.added.to.food...Instance.0_1,DT11B,"Do you add salt to your food?
(Do not include salt used in cooking)",Logical,1 : Never/rarely,Select one answer,Lifestyle and environment
452,1478.0,Salt.added.to.food...Instance.0_2,DT11B,"Do you add salt to your food?
(Do not include salt used in cooking)",Logical,2 : Sometimes,Select one answer,Lifestyle and environment
453,1478.0,Salt.added.to.food...Instance.0_3,DT11B,"Do you add salt to your food?
(Do not include salt used in cooking)",Logical,3 : Usually,Select one answer,Lifestyle and environment
454,1478.0,Salt.added.to.food...Instance.0_4,DT11B,"Do you add salt to your food?
(Do not include salt used in cooking)",Logical,4 : Always,Select one answer,Lifestyle and environment
456,1508.0,Coffee.type...Instance.0_2,DT13AA,What type of coffee do you usually drink?,Logical,2 : Instant coffee,Select one answer,Lifestyle and environment
457,1508.0,Coffee.type...Instance.0_3,DT13AA,What type of coffee do you usually drink?,Logical,"3 : Ground coffee (include espresso, filter etc)",Select one answer,Lifestyle and environment
459,1518.0,Hot.drink.temperature...Instance.0_1,DT13A,How do you like your hot drinks? (Such as coffee or tea),Logical,1 : Very hot,Select one answer,Lifestyle and environment
464,1538.0,Major.dietary.changes.in.the.last.5.years...Instance.0_1,DT15,Have you made any major changes to your diet in the last 5 years?,Logical,"1 : Yes, because of illness",Select one answer,Lifestyle and environment
465,1538.0,Major.dietary.changes.in.the.last.5.years...Instance.0_2,DT15,Have you made any major changes to your diet in the last 5 years?,Logical,"2 : Yes, because of other reasons",Select one answer,Lifestyle and environment
467,1548.0,Variation.in.diet...Instance.0_2,DT16,Does your diet vary much from week to week?,Logical,2 : Sometimes,Select one answer,Lifestyle and environment
468,1548.0,Variation.in.diet...Instance.0_3,DT16,Does your diet vary much from week to week?,Logical,3 : Often,Select one answer,Lifestyle and environment
470,20117.0,Alcohol.drinker.status...Instance.0_1,A1 & A1A,Current Field is partly derived from A1 & A1A,Logical,1 : Previous,Select one answer,Lifestyle and environment
471,20117.0,Alcohol.drinker.status...Instance.0_2,A1 & A1A,Current Field is partly derived from A1 & A1A,Logical,2 : Current,Select one answer,Lifestyle and environment
472,1558.0,Alcohol.intake.frequency....Instance.0_1,A1,About how often do you drink alcohol?,Logical,1 :Daily or almost daily,Select one answer,Lifestyle and environment
473,1558.0,Alcohol.intake.frequency....Instance.0_2,A1,About how often do you drink alcohol?,Logical,2 :Three or four times a week,Select one answer,Lifestyle and environment
476,1558.0,Alcohol.intake.frequency....Instance.0_5,A1,About how often do you drink alcohol?,Logical,5 :Special occasions only,Select one answer,Lifestyle and environment
477,1558.0,Alcohol.intake.frequency....Instance.0_6,A1,About how often do you drink alcohol?,Logical,6 :Never,Select one answer,Lifestyle and environment
478,3731.0,Former.alcohol.drinker...Instance.0_0,A1A,Did you previously drink alcohol?,Logical,0 : No,Select one answer,Lifestyle and environment
485,4429.0,Average.monthly.beer.plus.cider.intake...Instance.0_Upper.third,A2E,"In an average MONTH, how many pints of beer or cider would you drink?(Include bitter, lager, stout, ale, Guinness)",Logical,,Enter integer answer,Lifestyle and environment
489,4451.0,Average.monthly.fortified.wine.intake...Instance.0_Upper.third,A2F,"In an average MONTH, how many glasses of fortified wine would you drink?(There are 12 glasses in an average bottle)(Fortified wines include drinks such as sherry, port, vermouth)",Logical,,Enter integer answer,Lifestyle and environment
490,4462.0,Average.monthly.intake.of.other.alcoholic.drinks...Instance.0_Middle.third,A2G,"In an average MONTH, how many glasses of other alcoholic drinks (such as alcopops) would you drink?",Logical,,Enter integer answer,Lifestyle and environment
492,1568.0,Average.weekly.red.wine.intake...Instance.0_Middle.third,A3B,"In an average WEEK, how many glasses of RED wine would you drink?(There are six glasses in an average bottle)",Logical,,Enter integer answer,Lifestyle and environment
493,1568.0,Average.weekly.red.wine.intake...Instance.0_Upper.third,A3B,"In an average WEEK, how many glasses of RED wine would you drink?(There are six glasses in an average bottle)",Logical,,Enter integer answer,Lifestyle and environment
494,1578.0,Average.weekly.champagne.plus.white.wine.intake...Instance.0_Middle.third,A3C,"In an average WEEK, how many glasses of WHITE wine or champagne would you drink?
(There are six glasses in an average bottle)",Logical,,Enter integer answer,Lifestyle and environment
495,1578.0,Average.weekly.champagne.plus.white.wine.intake...Instance.0_Upper.third,A3C,"In an average WEEK, how many glasses of WHITE wine or champagne would you drink?
(There are six glasses in an average bottle)",Logical,,Enter integer answer,Lifestyle and environment
497,1588.0,Average.weekly.beer.plus.cider.intake...Instance.0_Upper.third,A3E,"In an average WEEK, how many pints of beer or cider would you drink?
(Include bitter, lager, stout, ale, Guinness)",Logical,,Enter integer answer,Lifestyle and environment
498,1598.0,Average.weekly.spirits.intake...Instance.0_Middle.third,A3A,"In an average WEEK, how many measures of spirits or liqueurs
would you drink?
(there are 25 standard measures in a normal sized bottle; spirits include drinks such as whisky, gin, rum, vodka, brandy)",Logical,,Enter integer answer,Lifestyle and environment
499,1598.0,Average.weekly.spirits.intake...Instance.0_Upper.third,A3A,"In an average WEEK, how many measures of spirits or liqueurs
would you drink?
(there are 25 standard measures in a normal sized bottle; spirits include drinks such as whisky, gin, rum, vodka, brandy)",Logical,,Enter integer answer,Lifestyle and environment
500,1608.0,Average.weekly.fortified.wine.intake...Instance.0_Middle.third,A3F,"In an average WEEK, how many glasses of fortified wine would you drink?
(There are 12 glasses in an average bottle; Fortified wines include drinks such as
sherry, port, vermouth)",Logical,,Enter integer answer,Lifestyle and environment
501,1608.0,Average.weekly.fortified.wine.intake...Instance.0_Upper.third,A3F,"In an average WEEK, how many glasses of fortified wine would you drink?
(There are 12 glasses in an average bottle; Fortified wines include drinks such as
sherry, port, vermouth)",Logical,,Enter integer answer,Lifestyle and environment
504,1618.0,Alcohol.usually.taken.with.meals...Instance.0_0,A5,When you drink alcohol is it usually with meals?,Logical,0 : No,Select one answer,Lifestyle and environment
505,1618.0,Alcohol.usually.taken.with.meals...Instance.0_1,A5,When you drink alcohol is it usually with meals?,Logical,1 : Yes,Select one answer,Lifestyle and environment
506,1618.0,Alcohol.usually.taken.with.meals...Instance.0_neg6,A5,When you drink alcohol is it usually with meals?,Logical,-6 : It varies,Select one answer,Lifestyle and environment
507,1628.0,Alcohol.intake.versus.10.years.previously...Instance.0_1,A6,"Compared to 10 years ago, do you drink?",Logical,1 : More nowadays,Select one answer,Lifestyle and environment
508,1628.0,Alcohol.intake.versus.10.years.previously...Instance.0_2,A6,"Compared to 10 years ago, do you drink?",Logical,2 : About the same,Select one answer,Lifestyle and environment
509,1628.0,Alcohol.intake.versus.10.years.previously...Instance.0_3,A6,"Compared to 10 years ago, do you drink?",Logical,3 : Less nowadays,Select one answer,Lifestyle and environment
510,2664.0,Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_1,A7,Why did you reduce the amount you drank?,Logical,1 : Illness or ill health,Select one answer,Lifestyle and environment
511,2664.0,Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_2,A7,Why did you reduce the amount you drank?,Logical,2 : Doctor's advice,Select one answer,Lifestyle and environment
512,2664.0,Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_3,A7,Why did you reduce the amount you drank?,Logical,3 : Health precaution,Select one answer,Lifestyle and environment
513,2664.0,Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_4,A7,Why did you reduce the amount you drank?,Logical,4 : Financial reasons,Select one answer,Lifestyle and environment
514,2664.0,Reason.for.reducing.amount.of.alcohol.drunk...Instance.0_5,A7,Why did you reduce the amount you drank?,Logical,5 : Other reason,Select one answer,Lifestyle and environment
515,3859.0,Reason.former.drinker.stopped.drinking.alcohol...Instance.0_1,A7A,Why did you stop drinking alcohol?,Logical,1 : Illness or ill health,Select one answer,Lifestyle and environment
516,3859.0,Reason.former.drinker.stopped.drinking.alcohol...Instance.0_2,A7A,Why did you stop drinking alcohol?,Logical,2 : Doctor's advice,Select one answer,Lifestyle and environment
517,3859.0,Reason.former.drinker.stopped.drinking.alcohol...Instance.0_3,A7A,Why did you stop drinking alcohol?,Logical,3 : Health precaution,Select one answer,Lifestyle and environment
518,3859.0,Reason.former.drinker.stopped.drinking.alcohol...Instance.0_5,A7A,Why did you stop drinking alcohol?,Logical,5 : Other reason,Select one answer,Lifestyle and environment
520,1717.0,Skin.colour...Instance.0_2,Y6A,What best describes the colour of your skin without tanning?,Logical,2 : Fair,Select one answer,Lifestyle and environment
521,1717.0,Skin.colour...Instance.0_3,Y6A,What best describes the colour of your skin without tanning?,Logical,3 : Light olive,Select one answer,Lifestyle and environment
523,1717.0,Skin.colour...Instance.0_5,Y6A,What best describes the colour of your skin without tanning?,Logical,5 : Brown,Select one answer,Lifestyle and environment
524,1717.0,Skin.colour...Instance.0_6,Y6A,What best describes the colour of your skin without tanning?,Logical,6 : Black,Select one answer,Lifestyle and environment
525,1727.0,Ease.of.skin.tanning...Instance.0_1,Y6AA,What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?,Logical,1 : Get very tanned,Select one answer,Lifestyle and environment
526,1727.0,Ease.of.skin.tanning...Instance.0_2,Y6AA,What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?,Logical,2 : Get moderately tanned,Select one answer,Lifestyle and environment
527,1727.0,Ease.of.skin.tanning...Instance.0_3,Y6AA,What would happen to your skin if it was repeatedly exposed to bright sunlight without any protection?,Logical,3 : Get mildly or occasionally tanned,Select one answer,Lifestyle and environment
532,1747.0,Hair.colour..natural..before.greying....Instance.0_4,Y6B,"What best describes your natural hair colour?
(If your hair colour is grey, the colour before you went grey)",Logical,4 : Dark brown,Select one answer,Lifestyle and environment
533,1747.0,Hair.colour..natural..before.greying....Instance.0_5,Y6B,"What best describes your natural hair colour?
(If your hair colour is grey, the colour before you went grey)",Logical,5 : Black,Select one answer,Lifestyle and environment
534,1747.0,Hair.colour..natural..before.greying....Instance.0_6,Y6B,"What best describes your natural hair colour?
(If your hair colour is grey, the colour before you went grey)",Logical,6 : Other,Select one answer,Lifestyle and environment
535,1757.0,Facial.ageing...Instance.0_1,Y6C,Do people say that you look:,Logical,1 : Younger than you are,Select one answer,Lifestyle and environment
536,1757.0,Facial.ageing...Instance.0_2,Y6C,Do people say that you look:,Logical,2 : Older than you are,Select one answer,Lifestyle and environment
537,1757.0,Facial.ageing...Instance.0_3,Y6C,Do people say that you look:,Logical,3 : About your age,Select one answer,Lifestyle and environment
538,2267.0,Use.of.sun.uv.protection...Instance.0_1,Y6AB,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",Logical,1 : Never/rarely,Select one answer,Lifestyle and environment
539,2267.0,Use.of.sun.uv.protection...Instance.0_2,Y6AB,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",Logical,2 : Sometimes,Select one answer,Lifestyle and environment
540,2267.0,Use.of.sun.uv.protection...Instance.0_3,Y6AB,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",Logical,3 : Most of the time,Select one answer,Lifestyle and environment
541,2267.0,Use.of.sun.uv.protection...Instance.0_4,Y6AB,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",Logical,4 : Always,Select one answer,Lifestyle and environment
542,2267.0,Use.of.sun.uv.protection...Instance.0_5,Y6AB,"Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?",Logical,5 : Do not go out in sunshine,Select one answer,Lifestyle and environment
543,2129.0,Answered.sexual.history.questions...Instance.0_1,INTRO7,"The next section contains questions about your sexual history.
If you feel that a question is too sensitive,
you can skip the question or skip the entire section if you prefer.",Logical,1 : Continue,Select one answer,Lifestyle and environment
544,2129.0,Answered.sexual.history.questions...Instance.0_2,INTRO7,"The next section contains questions about your sexual history.
If you feel that a question is too sensitive,
you can skip the question or skip the entire section if you prefer.",Logical,2 : Skip this section,Select one answer,Lifestyle and environment
545,2139.0,Age.first.had.sexual.intercourse...Instance.0_Lower.third,SE1,"What was your age when you first had sexual intercourse?
(Sexual intercourse includes vaginal, oral or anal intercourse)",Logical,,Enter integer answer,Lifestyle and environment
546,2139.0,Age.first.had.sexual.intercourse...Instance.0_Middle.third,SE1,"What was your age when you first had sexual intercourse?
(Sexual intercourse includes vaginal, oral or anal intercourse)",Logical,,Enter integer answer,Lifestyle and environment
549,2149.0,Lifetime.number.of.sexual.partners...Instance.0_Lower.third,SE1A,About how many sexual partners have you had in your lifetime?,Logical,,Enter integer answer,Lifestyle and environment
551,2149.0,Lifetime.number.of.sexual.partners...Instance.0_Upper.third,SE1A,About how many sexual partners have you had in your lifetime?,Logical,,Enter integer answer,Lifestyle and environment
558,1687.0,Comparative.body.size.at.age.10...Instance.0_1,Y4,"When you were 10 years old, compared to average would you describe yourself as:",Logical,1 : Thinner,Select one answer,Early life factors
560,1687.0,Comparative.body.size.at.age.10...Instance.0_3,Y4,"When you were 10 years old, compared to average would you describe yourself as:",Logical,3 : About average,Select one answer,Early life factors
562,1697.0,Comparative.height.size.at.age.10...Instance.0_2,Y5,"When you were 10 years old, compared to average would you describe yourself as:",Logical,2 : Taller,Select one answer,Early life factors
566,1707.0,Handedness..chirality.laterality....Instance.0_3,Y6,Are you right or left handed?,Logical,3 : Use both right and left hands equally,Select one answer,Early life factors
569,1777.0,Part.of.a.multiple.birth...Instance.0_0,Y1A,"Are you a twin, triplet or other multiple birth?",Logical,0 : No,Select one answer,Early life factors
570,1777.0,Part.of.a.multiple.birth...Instance.0_1,Y1A,"Are you a twin, triplet or other multiple birth?",Logical,1 : Yes,Select one answer,Early life factors
572,1787.0,Maternal.smoking.around.birth...Instance.0_1,Y7,Did your mother smoke regularly around the time when you were born?,Logical,1 : Yes,Select one answer,Early life factors
573,1797.0,Father.still.alive...Instance.0_0,Y13,Is your father still alive?,Logical,0 : No,Select one answer,Family history
575,3912.0,Adopted.father.still.alive...Instance.0_0,Y13AD,Is your ADOPTED father still alive?,Logical,0 : No,Select one answer,Family history
578,2946.0,Father.s.age...Instance.0_Middle.third,Y13A,What is his age now?,Logical,,Enter integer answer,Family history
579,2946.0,Father.s.age...Instance.0_Upper.third,Y13A,What is his age now?,Logical,,Enter integer answer,Family history
581,1807.0,Father.s.age.at.death...Instance.0_Middle.third,Y13B,What was his age when he died?,Logical,,Enter integer answer,Family history
582,1807.0,Father.s.age.at.death...Instance.0_Upper.third,Y13B,What was his age when he died?,Logical,,Enter integer answer,Family history
583,1835.0,Mother.still.alive...Instance.0_0,Y16,Is your mother still alive?,Logical,0 : No,Select one answer,Family history
585,3942.0,Adopted.mother.still.alive...Instance.0_0,Y16AD,Is your ADOPTED mother still alive?,Logical,0 : No,Select one answer,Family history
587,1845.0,Mother.s.age...Instance.0_Lower.third,Y16A,What is her age now?,Logical,,Enter integer answer,Family history
588,1845.0,Mother.s.age...Instance.0_Middle.third,Y16A,What is her age now?,Logical,,Enter integer answer,Family history
589,1845.0,Mother.s.age...Instance.0_Upper.third,Y16A,What is her age now?,Logical,,Enter integer answer,Family history
591,3526.0,Mother.s.age.at.death...Instance.0_Middle.third,Y16B,What was her age when she died?,Logical,,Enter integer answer,Family history
593,1873.0,Number.of.full.brothers...Instance.0_Middle.third,Y17,"How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half- brothers, step-brothers or
adopted brothers)",Logical,,Enter integer answer,Family history
594,1873.0,Number.of.full.brothers...Instance.0_Upper.third,Y17,"How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half- brothers, step-brothers or
adopted brothers)",Logical,,Enter integer answer,Family history
597,1883.0,Number.of.full.sisters...Instance.0_Middle.third,Y18,"How many sisters do you have?
(Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)",Logical,,Enter integer answer,Family history
598,1883.0,Number.of.full.sisters...Instance.0_Upper.third,Y18,"How many sisters do you have?
(Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)",Logical,,Enter integer answer,Family history
610,20113.0,Illnesses.of.adopted.mother...Instance.0_2,Y16DAD,"Has/did your ADOPTED mother ever suffer from?
(You can select more than one answer)",Logical,2 : Stroke,Toggle multiple answer,Family history
616,20107.0,Illnesses.of.father...Instance.0_1,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,1 : Heart disease,Toggle multiple answer,Family history
617,20107.0,Illnesses.of.father...Instance.0_2,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,2 : Stroke,Toggle multiple answer,Family history
618,20107.0,Illnesses.of.father...Instance.0_3,Y13E,Has/did your father ever suffer from? (You can select more than one answer),Logical,3 : Lung cancer,Toggle multiple answer,Family history
620,20107.0,Illnesses.of.father...Instance.0_6,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,6 : Chronic bronchitis/emphysema,Toggle multiple answer,Family history
621,20107.0,Illnesses.of.father...Instance.0_8,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,8 : High blood pressure,Toggle multiple answer,Family history
622,20107.0,Illnesses.of.father...Instance.0_9,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,9 : Diabetes,Toggle multiple answer,Family history
623,20107.0,Illnesses.of.father...Instance.0_10,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,10 : Alzheimer's disease/dementia,Toggle multiple answer,Family history
624,20107.0,Illnesses.of.father...Instance.0_11,Y13E,Has/did your father ever suffer from? (You can select more than one answer),Logical,11 : Parkinson's disease,Toggle multiple answer,Family history
626,20107.0,Illnesses.of.father...Instance.0_13,Y13E,Has/did your father ever suffer from? (You can select more than one answer),Logical,13 : Prostate cancer,Toggle multiple answer,Family history
627,20107.0,Illnesses.of.father...Instance.0_neg17,Y13D,Has/did your father ever suffer from? (You can select more than one answer),Logical,-17 : None of the above,Select one answer,Family history
628,20107.0,Illnesses.of.father...Instance.0_neg27,Y13E,Has/did your father ever suffer from? (You can select more than one answer),Logical,-27 : None of the above,Select one answer,Family history
629,20110.0,Illnesses.of.mother...Instance.0_1,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,1 : Heart disease,Toggle multiple answer,Family history
630,20110.0,Illnesses.of.mother...Instance.0_2,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,2 : Stroke,Toggle multiple answer,Family history
631,20110.0,Illnesses.of.mother...Instance.0_3,Y16E,Has/did your mother ever suffer from? (You can select more than one answer),Logical,3 : Lung cancer,Toggle multiple answer,Family history
632,20110.0,Illnesses.of.mother...Instance.0_4,Y16E,Has/did your mother ever suffer from? (You can select more than one answer),Logical,4 : Bowel cancer,Toggle multiple answer,Family history
633,20110.0,Illnesses.of.mother...Instance.0_5,Y16E,Has/did your mother ever suffer from? (You can select more than one answer),Logical,5 : Breast cancer,Toggle multiple answer,Family history
634,20110.0,Illnesses.of.mother...Instance.0_6,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,6 : Chronic bronchitis/emphysema,Toggle multiple answer,Family history
635,20110.0,Illnesses.of.mother...Instance.0_8,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,8 : High blood pressure,Toggle multiple answer,Family history
636,20110.0,Illnesses.of.mother...Instance.0_9,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,9 : Diabetes,Toggle multiple answer,Family history
637,20110.0,Illnesses.of.mother...Instance.0_10,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,10 : Alzheimer's disease/dementia,Toggle multiple answer,Family history
640,20110.0,Illnesses.of.mother...Instance.0_neg17,Y16D,Has/did your mother ever suffer from? (You can select more than one answer),Logical,-17 : None of the above,Select one answer,Family history
641,20110.0,Illnesses.of.mother...Instance.0_neg27,Y16E,Has/did your mother ever suffer from? (You can select more than one answer),Logical,-27 : None of the above,Select one answer,Family history
642,20111.0,Illnesses.of.siblings...Instance.0_1,Y19,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,1 : Heart disease,Toggle multiple answer,Family history
643,20111.0,Illnesses.of.siblings...Instance.0_2,Y19,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,2 : Stroke,Toggle multiple answer,Family history
644,20111.0,Illnesses.of.siblings...Instance.0_3,Y20,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,3 : Lung cancer,Toggle multiple answer,Family history
645,20111.0,Illnesses.of.siblings...Instance.0_4,Y20,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,4 : Bowel cancer,Toggle multiple answer,Family history
646,20111.0,Illnesses.of.siblings...Instance.0_5,Y20,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,5 : Breast cancer,Toggle multiple answer,Family history
647,20111.0,Illnesses.of.siblings...Instance.0_6,Y19,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,6 : Chronic bronchitis/emphysema,Toggle multiple answer,Family history
648,20111.0,Illnesses.of.siblings...Instance.0_8,Y19,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,8 : High blood pressure,Toggle multiple answer,Family history
649,20111.0,Illnesses.of.siblings...Instance.0_9,Y19,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,9 : Diabetes,Toggle multiple answer,Family history
650,20111.0,Illnesses.of.siblings...Instance.0_10,Y19,"Have any of your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,10 : Alzheimer's disease/dementia,Toggle multiple answer,Family history
651,20111.0,Illnesses.of.siblings...Instance.0_11,Y20,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,11 : Parkinson's disease,Toggle multiple answer,Family history
653,20111.0,Illnesses.of.siblings...Instance.0_13,Y20,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,13 : Prostate cancer,Toggle multiple answer,Family history
654,20111.0,Illnesses.of.siblings...Instance.0_neg17,Y19,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,-17 : None of the above,Select one answer,Family history
655,20111.0,Illnesses.of.siblings...Instance.0_neg27,Y20,"Have any or your brothers or sisters suffered from any of the following illnesses?
(You can select more than one answer)",Logical,-27 : None of the above,Select one answer,Family history
